uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url
3d0ff4f9-6ed8-45d4-a0cf-451e72d2b12a,Travel & Leisure,Flights,Virgin Australia,5% off,Enjoy 5% off,5% off fares valid for travel on Virgin Australia across both domestic and international short haul and long haul,,Fly with award-winning service to over 35 domestic and international destinations,"• The coupon code is valid from 12:01am AEST 11 August 2025 until 11:59pm AEST 31 December 2026, unless sold out prior. There is a limited availability of discounted fares.
• The Coupon grants up to 1% discount on a limited number of one-way/return selected Economy Lite fares and up to 5% discount on one-way/return selected Economy Choice fares on Virgin Australia marketed and operated flights (with a VA flight number).
• Subject to availability, discount applies to year- round fares and cannot be used in conjunction with any other promotion. Discount does not apply to fees and taxes. Discount is applied automatically at the time of booking on the Virgin Australia website, when eligible customers access the discount code and Virgin Australia website through the “Entertainment” platform and have been verified as eligible for the discount. Payment surcharge may apply.
• Offer only applicable to flights that are fully operated by VA and isn't eligible for any code-sharing flights
• The following blackout periods apply (All Hauls): Start Blackout Date: 12-Dec-25 End Blackout Date: 06-Jan-26. Start Blackout Date: 03-Apr-26 End Blackout Date: 28-Apr-26. Start Blackout Date: 26-Jun-26 End Blackout Date: 27-Jul-26. Start Blackout Date: 19-Sep-26 End Blackout Date: 12-Oct-26. Start Blackout Date: 12-Dec-26 End Blackout Date: 08-Jan-27&#x0D;",,,,,,,https://www.entertainment.com.au/offer-details/3d0ff4f9-6ed8-45d4-a0cf-451e72d2b12a
5feea19c-02ea-4d93-860a-e22b15b87472,Travel & Leisure,Flights,Qatar Airways - Australia,Special Rate,Save up to 10% on flights,Save up to 10% on your next Qatar Airways flight,https://www.qatarairways.com/en-au/help.html,"Experience award-winning excellence as you prepare for an unforgettable journey on board the World’s Best Airline, as awarded nine-times by the Skytrax World Airline Awards (2011, 2012, 2015, 2017, 2019, 2021, 2022, 2024 and 2025). Connect to over 170 destinations worldwide across Europe, the United Kingdom, Africa, the Middle East and more via the World's Best Airport 2024, Hamad International Airport in Doha, Qatar. Discover an unparalleled travel experience to unforgettable places. Unwind in spacious seats above the clouds, savour the taste of destination-inspired cuisine crafted by world-class chefs, and indulge in award-winning hospitality. Enhance your journey further and experience a new level of luxury in the World’s Best Business Class, as recognised for the twelfth time by the Skytrax World Airline Awards 2025.","• Offer Period:?1 August 2025 - 31 July 2026
• Travel Period: 1 August 2025 - 31 July 2026
• The promo code must be entered before initiating a flight search. If the promo code is entered correctly, the special fare will be marked with a burgundy coupon on the flight selection page along with the wording ‘Promo code has been successfully applied’.
• Qatar Airways will not be held responsible for any fare differences if the customer does not enter the valid promo code at the time of booking. The promo code cannot be applied retrospectively.
• Qatar Airways reserves the right to suspend or terminate the offer, for any reason and at any time, without incurring any cost or liability.
• Offer valid on Qatar Airways operated flights originating from?Melbourne, Sydney, Brisbane, Adelaide, Perth and Canberra (starting from 2 December 2025)?to selected destinations.
• Credit and debit card transaction fees apply. A 1% fee applies for VISA, Mastercard and American Express credit cards, a 2.2% fee applies for Diners Club and Discover credit cards, and a 0.3% fee applies for debit card payments. Additional credit card fees may apply for credit cards issued outside of Australia. Please review at the time of booking. Fees are capped at a maximum of AUD $80 per person. There is no charge for other forms of payments.
• Seats are limited and might not be available on all flights, and are subject to availability in the respective booking class at the time of booking.
• Offer valid on Qatar Airways operated flights only (not applicable on any codeshare or interline flights) to selected destinations within the Qatar Airways network including:?
• Europe: Amsterdam, Ankara, Antalya, Athens, Barcelona, Belgrade, Berlin, Birmingham, Bodrum, Brussels, Bucharest, Budapest, Copenhagen, Dublin, Düsseldorf, Edinburgh, Frankfurt, Geneva, Hamburg, Istanbul, Istanbul Sabiha Gokcen, Larnaca, Lisbon, London Gatwick, London Heathrow, Lyon, Madrid, Malaga, Malta, Manchester, Milan, Moscow, Munich, Mykonos, Nice, Oslo, Paris, Prague, Rome, Sarajevo, Sofia, Stockholm, Trabzon, Venice, Vienna, Warsaw, Zagreb and Zurich.
• Africa: Abuja, Abidjan, Accra, Algiers, Izmir, Casablanca, Cairo, Cape Town, Dar Es Salaam, Djibouti, Durban, Entebbe, Alexandria, Johannesburg, Kilimanjaro, Lagos, Marrakech, Nairobi, Seychelles, Tunis and Zanzibar.
• The Americas: Atlanta, Boston, Dallas, Sao Paulo, Houston, Washington, Chicago, New York, Seattle, San Francisco, Houston, Los Angeles, Miami, Toronto and Montreal.
• The Middle East: Abu Dhabi, Al Ula, Medina, Amman, Baghdad, Bahrain, Baku, Beirut, Damascus, Dammam, Doha, Dubai, Erbil, Jeddah, Kuwait, Muscat, Riyadh, Tbilisi, Tehran and Yerevan.
• South Asia: Delhi, Dhaka, Hyderabad, Islamabad, Karachi, Lahore, Male, Mumbai
• Credit and debit card transaction fees apply. A 1% fee applies for VISA, Mastercard and American Express credit cards, a 2.2% fee applies for Diners Club and Discover credit cards, and a 0.3% fee applies for debit card payments. Additional credit card fees may apply for credit cards issued outside of Australia. Please review at the time of booking. Fees are capped at a maximum of AUD $80 per person. There is no charge for other forms of payments.
• Seats are limited and might not be available on all flights and are subject to availability in the respective booking class at the time of booking.
• Savings on Economy Class for travelers departing Melbourne, Sydney, Canbera, Adelaide, Perth and Brisbane apply. Please refer to the Flight Offer: Terms and Conditions.
• The following booking classes are excluded from this offer: Economy Lite (W),?Economy Comfort (Y, B, H).
• Savings in Business Class:&#x0D;
For travel departing Melbourne, Sydney, Brisbane, Canberra, Adelaide and Perth:&#x0D;
7% discount on the base fare in Business Class will apply to bookings classes Comfort (I, D) for travel between 1 August 2025 - 31 July 2026.&#x0D;
5% discount on the base fare in Business Class will apply to booking classes?Classic (R) for travel between 1 August 2025 - 31 July 2026.&#x0D;
The following booking classes are excluded from this offer: Business Elite (J, C), Business Lite (P),?First Elite (F, A).
• The promo code discount is valid only on Qatar Airways operated one-way and return flight itineraries. Codeshare and interline bookings are excluded.?
• This offer cannot be combined with publicly available promotional fares.?
• Seats are limited and are subject to availability.
• The discount applies on the base fare only. The promo code discount is deducted from the 'fare per passenger' amount visible in the ‘payment summary’ after the flight selection page. Any other taxes, service fees, or standard market charges will be payable and displayed at the time of booking and are not subject to any discounts.
• Not valid in combination with any other online promotions and offers, or fares marked with “Special offer” that is available on the Qatar Airways website or Mobile App.
• Tickets are non-endorsable and non-transferable.
• In case of involuntary flight cancellation, please refer to the applicable fare rules for your booking.? ?
• Any change or cancellation less than 3 hours prior to the stated time of departure will be considered as no-show and no-show penalties will apply.
• For travel involving multiple booking classes, the most restrictive fare rules apply to the entire itinerary.
• This offer cannot be combined with any other promotion and Seats are limited and are subject to availability.
• Qatar Airways reserves the right to suspend or terminate the offer, for any reason whatsoever at any time, without incurring any cost or liability as a result of using this right, if Terms are breached in any way.
• Qatar Airways' terms and conditions, including the Conditions of Carriage, will also apply to your booking. Please refer to the fare rules at the time of booking to learn more about the official conditions related to changes, cancellations, and no-shows.",,,,+61283201015,,,https://www.entertainment.com.au/offer-details/5feea19c-02ea-4d93-860a-e22b15b87472
bf55f836-8410-4cb9-b0c8-1d743f6dbf42,Travel & Leisure,Theme Park and attractions,Dreamworld,15% off,Enjoy 15% off,15% off the online price of selected admission tickets,https://www.dreamworld.com.au/,"Dreamworld is Australia’s largest theme park, offering thrilling rides, family attractions, immersive worlds, and unique wildlife encounters, including the new Rivertown with Jungle Rush and Murrissippi Motors.",• Tickets to be pre-purchased online,"Dreamworld Parkway, Coomera QLD 4209, Australia",Coomera,QLD,+61755881111,-27.864791,153.316176,https://www.entertainment.com.au/offer-details/bf55f836-8410-4cb9-b0c8-1d743f6dbf42
657a0ec6-836e-48cf-be8d-0ea953e16f0a,Travel & Leisure,Theme Park and attractions,Sea World,10% off,Enjoy 10% off,"10% off online prices for selected Multi park tickets for entry to Warner Bros. Movie World, Sea World, Wet'n'Wild and Paradise Country.",https://seaworld.com.au/,"Make friends with the amazing marine life at Sea World. Experience a world of incredible animals, shows and attractions including Shark Bay where you can get up close and personal with the oceans most feared predators, Penguin Encounter, Sponge Bob Parade Pants, Jet Stunt Extreme, Dolphin Cove and much more! The once-in-a-lifetime experiences include an opportunity to get up close and personal with sharks and marine life at Shark Bay, deep water and shallow water dolphin encounters for adults and children, land and water based interactions with the fun loving seals or spending a day learning how the trainers at Sea World look after and train the dolphins.","• Tickets not valid with any other offer.
• Tickets not valid for any special events outside normal operation hours.
• Limit of 6 tickets per card holder.
• Not valid on single day passes.
• Children under the age of 3 years old do not require a ticket.
• Pass must be used within 12 months from the date of purchase.","Sea World, Sea World Drive, Main Beach QLD 4217, Australia",Main Beach,QLD,+61755882222,-27.960502,153.425812,https://www.entertainment.com.au/offer-details/657a0ec6-836e-48cf-be8d-0ea953e16f0a
fd0ae0c8-4447-4606-b1f7-d15d25ee7d43,Travel & Leisure,Theme Park and attractions,Warner Bros. Movie World,10% off,Enjoy 10% off,"10% off online prices for selected Multi park tickets for entry to Warner Bros. Movie World, Sea World, Wet'n'Wild and Paradise Country.",https://movieworld.com.au,"Experience the magic and excitement of a world where everyone's a star - Warner Bros. Movie World! Become lost in a world of fantasy and fun, meet your favourite stars and superheroes, and experience the exhilaration of world-class adventure rides, movie attractions and an array of stunning shows... where an exciting encounter or adventure takes place at every turn.","• Tickets not valid with any other offer.
• Tickets not valid for any special events outside normal operation hours.
• Limit of 6 tickets per card holder.
• Not valid on single day passes.
• Children under the age of 3 years old do not require a ticket.
• Pass must be used within 12 months from the date of purchase.","Warner Bros. Movie World, Pacific Motorway, Oxenford QLD 4210, Australia",Oxenford,QLD,+61755733999,-27.906767303890305,153.31308882767792,https://www.entertainment.com.au/offer-details/fd0ae0c8-4447-4606-b1f7-d15d25ee7d43
a12fdd39-ca2b-4f00-a431-93877c85ea19,Travel & Leisure,Theme Park and attractions,Wet'n'Wild Gold Coast,10% off,Enjoy 10% off,"10% off online prices for selected Multi park tickets for entry to Warner Bros. Movie World, Sea World, Wet'n'Wild and Paradise Country.",https://wetnwild.com.au,Dive into a splashtacular family day out at Wet’n’Wild Gold Coast where summer is endless and so is the fun! Experience the ultimate adrenaline rush at the Extreme H2O Zone and then hang out with the kids at to Wet ’n’ Wild Junior. Don't miss a day of fun for the whole family!,"• Tickets not valid with any other offer.
• Tickets not valid for any special events outside normal operation hours.
• Limit of 6 tickets per card holder.
• Not valid on single day passes.
• Children under the age of 3 years old do not require a ticket.
• Pass must be used within 12 months from the date of purchase.","Wet'n'Wild Water World, Pacific Motorway, Oxenford QLD 4210, Australia",Oxenford,QLD,+61755561610,-27.914699,153.317609,https://www.entertainment.com.au/offer-details/a12fdd39-ca2b-4f00-a431-93877c85ea19
a6d66150-72fa-43fa-bf8b-029202edfd5c,Travel & Leisure,Family Activities,Currumbin Wildlife Sanctuary,25% off,Enjoy 25% off,25% off the regular price for day entry to Currumbin Wildlife Sanctuary,https://currumbinsanctuary.com.au/,"Currumbin Wildlife Sanctuary is voted Gold Coasts’ best wildlife experience and is nestled within 27 hectares of lush eucalyptus and rainforest. This regional treasure has also been educating and entertaining families and tourists from all across the globe. Come face-to-face with extraordinary wildlife in exciting daily shows, cuddle a koala, ride the miniature train, pat a kangaroo. Every day at Currumbin is a new adventure. This offer is only redeemable at the Entrance Ticketing Gate","• For up to six adult or child tickets
• Please visit https://currumbinsanctuary.com.au/tickets-and-encounters/day-pass
• For full terms and condition please visit https://currumbinsanctuary.com.au/terms-and-conditions",,,,,,,https://www.entertainment.com.au/offer-details/a6d66150-72fa-43fa-bf8b-029202edfd5c
c9453bef-2612-4c80-bb9d-f523c504a24e,Travel & Leisure,Hotels,Paradise Country Farmstay,15% off,Enjoy 15% off,15% off Room and Package accommodation rates for Paradise Country Farmstay.,https://paradisecountry.com.au/farmstay,"Stay on the door step of Paradise Country and experience sunrise and sunset activities exclusive to farmstay guests. Evening activities include lawn games, wine tasting and nightly campfire. Wake up to fresh country air, collect eggs from the chicken coop and help with the morning feed up, then relax the day away in the tranquil bush setting.","• Prices and offers subject to availability.
• Bookings non-refundable, full payment required at time of booking.",,,,133386,,,https://www.entertainment.com.au/offer-details/c9453bef-2612-4c80-bb9d-f523c504a24e
196adc3f-5dc4-428c-83db-23ccfc203484,Travel & Leisure,Theme Park and attractions,Australian Outback Spectacular,10% off,Enjoy 10% off,10% off Australian Outback Spectacular,https://outbackspectacular.com.au/,"Saddle up for a captivating journey to the high country and experience the most breathtaking arena show ever produced under the Australian Outback Spectacular roof. Delight in a three course menu and drinks as you witness the bravery, beauty and courage of the greatest Australian stories never told.","• Tickets must be booked and purchased in advance. Minimum 48 hours prior to show.
• Limit of 6 tickets per card holder","The Australian Outback Spectacular, Entertainment Road (next to Warner Bros. Movie World), Oxenford QLD 4210, Australia",Oxenford,QLD,133386,-27.912093,153.315559,https://www.entertainment.com.au/offer-details/196adc3f-5dc4-428c-83db-23ccfc203484
0c531bde-51aa-45e9-81d7-6c025494ed53,Travel & Leisure,Theme Park and attractions,Paradise Country,10% off,Enjoy 10% off,10% Off online prices for Single day ticket admission to Paradise Country.,https://paradisecountry.com.au/,"Tucked away in the leafy suburb of Floreat, Forty Seven Kirwan is where locals in the know go for amazing food, great coffee and friendly service. Serving breakfast and lunch everyday, the menu features fresh seasonal delights all made using the best local produce. Open 7 days, Monday to Friday 7am until 3.30pm, and Saturday and Sunday 7am until 3pm. Kitchen closes at 2pm.","• Tickets not valid with any other offer.
• Tickets not valid for any special events outside normal operation hours.
• Limit of 6 tickets per card holder.
• Not valid on single day passes.
• Children under the age of 3 years old do not require a ticket.
• Pass must be used within 12 months from the date of purchase.","Production Drive, Oxenford QLD 4210, Australia",Oxenford,QLD,133386,-27.912738866464,153.304810469153,https://www.entertainment.com.au/offer-details/0c531bde-51aa-45e9-81d7-6c025494ed53
